rank,player,team,goals,assists,points
1,Sean Tarsatana,Washington Township,31,23,85
2,Jesus Espinosa,Barringer,37,6,80
3,Max Fleischer,Glen Ridge,27,23,77
4,Alex Lyszczarczyk,Wallington,31,13,75
5,Jake Cooke,Delaware Valley,26,23,75
6,Zack Payne,Gloucester Catholic,29,12,70
7,Carl Hall,West Orange,22,26,70
8,Sean Moore,Colts Neck,30,8,68
9,Miles Agle,McNair,30,7,67
10,Chris Guerrero-Dominguez,Park Ridge,29,9,67
11,Abdoul Konvolbo,Shabazz,30,6,66
12,William Zonoe,Westampton Tech,26,14,66
13,Angel Marquez,Delaware Valley,30,5,65
14,Brody Powers,Point Pleasant Beach,27,10,64
15,Anthony Bautista,St. Peter's Prep,26,11,63
16,Ori Oelsner,Tenafly,27,8,62
17,Kiandry Aban,Harrison,25,12,62
18,Nico Mathews,Robbinsville,24,14,62
19,Nate Stryker,Brick Memorial,27,6,60
20,Julian Lopez,Pingry,26,6,58
21,Ayden Anderson,Washington Township,24,8,56
22,Hudson Iurato,Cedar Grove,22,11,55
23,Andrei Nitulescu,Randolph,25,4,54
24,Elijah Font,Northern Burlington,21,11,53
25,Mason Boles,St. John Vianney,20,13,53
26,Yusef Qasemi,Parsippany,19,15,53
27,Jayden Pallero,Manchester Regional,17,19,53
28,Mario Jacobo,Cedar Creek,23,5,51
29,Brandon Cosentino,Ocean Township,21,8,50
30,Cruz Farkas,Manasquan,21,8,50
31,Nick Carrascosa,Montclair Kimberley,20,10,50
32,Caden O'Connell,Ramapo,19,12,50
33,Will Dent,West Milford,23,3,49
34,Leonardo Belloni,Morris Hills,21,7,49
35,Ezequiel Soto,Harrison,20,9,49
36,Landon Hoenisch,Notre Dame,18,13,49
37,Brody Nacarlo,Southern,17,14,48
38,Oliwer Pietruczak,Wallington,19,9,47
39,Aiden Yoder,Somerset Tech,22,2,46
40,Timothy Koke,Bernards,17,12,46
41,Jack Meserole,Dwight-Englewood,15,16,46
42,Matias Gonzalez,Dover,15,16,46
43,Pedro Barreto Reis,Harrison,15,16,46
44,Jermaine Russell,Cedar Grove,17,11,45
45,Kooper Nicolai,Wallkill Valley,18,8,44
46,Alessio Garrido,Boonton,20,3,43
47,Emmanuel Kostis,Edison,20,3,43
48,Marco Mannino,Chatham,19,5,43
49,Luca Ercolano,Notre Dame,18,7,43
50,Ygor Santana,Doane Academy,17,9,43
51,Jake Mora,Manville,18,6,42
52,Tyler Kunkel,Bordentown,18,6,42
53,Shane Gambarony,Toms River South,16,10,42
54,Jacob Preziosi,Ramapo,13,15,41
