rank,team,games,wins,losses,ties,goals_for,goals_against,goal_diff,win_pct,opp_win_pct,goal_diff_per_game,max_win_margin,rating
1,Ramapo,22,21,1,0,76,9,67,0.955,0.545,3.045,6,3.864
2,St. Joseph (Met.),19,18,1,0,67,13,54,0.947,0.536,2.842,6,3.82
3,West Orange,26,24,2,0,100,14,86,0.923,0.556,3.308,7,3.805
4,Madison,23,20,1,2,60,17,43,0.913,0.51,1.87,6,3.639
5,Pingry,21,18,3,0,78,28,50,0.857,0.573,2.381,8,3.606
6,Colts Neck,22,19,3,0,64,15,49,0.864,0.548,2.227,8,3.582
7,Tenafly,19,17,2,0,68,14,54,0.895,0.475,2.842,7,3.58
8,Washington Township,24,20,2,2,75,29,46,0.875,0.51,1.917,6,3.527
9,Bernards,20,17,2,1,59,17,42,0.875,0.475,2.1,7,3.491
10,Notre Dame,21,17,2,2,69,12,57,0.857,0.469,2.714,10,3.483
11,St. Augustine,22,18,3,1,55,11,44,0.841,0.507,2.0,8,3.443
12,Glen Ridge,24,20,4,0,90,26,64,0.833,0.499,2.667,6,3.415
13,Moorestown,24,20,4,0,50,20,30,0.833,0.503,1.25,9,3.394
14,Middletown South,22,17,4,1,45,19,26,0.795,0.594,1.182,6,3.385
15,Christian Brothers,23,16,3,4,60,23,37,0.783,0.595,1.609,6,3.365
16,Harrison,25,20,4,1,103,30,73,0.82,0.477,2.92,7,3.362
17,St. Peter's Prep,23,19,3,1,63,19,44,0.848,0.428,1.913,8,3.342
18,Montclair Kimberley,23,17,5,1,66,20,46,0.761,0.594,2.0,7,3.324
19,Schalick,22,16,4,2,72,15,57,0.773,0.555,2.591,6,3.315
20,Monroe,21,15,5,1,59,19,40,0.738,0.629,1.905,6,3.295
21,Delbarton,23,17,5,1,64,20,44,0.761,0.574,1.913,6,3.279
22,Bergen Catholic,22,16,5,1,71,29,42,0.75,0.556,1.909,8,3.24
23,Bordentown,22,17,5,0,64,20,44,0.773,0.515,2.0,6,3.23
24,Cedar Creek,18,14,3,1,55,12,43,0.806,0.431,2.389,7,3.229
25,Randolph,25,17,5,3,57,18,39,0.74,0.576,1.56,7,3.217
26,Chatham,20,14,4,2,48,14,34,0.75,0.544,1.7,8,3.214
27,Wallington,22,16,5,1,77,32,45,0.75,0.524,2.045,9,3.208
28,Union City,19,15,4,0,52,24,28,0.789,0.43,1.474,12,3.193
29,Seton Hall Prep,19,13,5,1,39,20,19,0.711,0.636,1.0,6,3.186
30,West Milford,23,17,4,2,52,25,27,0.783,0.487,1.174,6,3.185
31,Mahwah,21,17,4,0,66,21,45,0.81,0.406,2.143,5,3.173
32,Becton,20,16,4,0,64,23,41,0.8,0.412,2.05,6,3.16
33,Delaware Valley,26,20,6,0,83,35,48,0.769,0.472,1.846,7,3.159
34,Westampton Tech,21,16,5,0,72,22,50,0.762,0.477,2.381,6,3.156
35,Passaic,23,18,5,0,55,27,28,0.783,0.463,1.217,6,3.152
36,Montgomery,20,15,4,1,60,23,37,0.775,0.454,1.85,7,3.15
37,Toms River East,24,17,6,1,58,26,32,0.729,0.54,1.333,6,3.111
38,Ramsey,22,16,6,0,50,19,31,0.727,0.537,1.409,6,3.103
39,Princeton,22,16,5,1,46,13,33,0.75,0.471,1.5,7,3.086
40,Egg Harbor,20,13,4,3,48,13,35,0.725,0.518,1.75,6,3.082
41,Verona,19,14,5,0,47,19,28,0.737,0.495,1.474,6,3.072
42,Fort Lee,17,13,4,0,44,18,26,0.765,0.424,1.529,8,3.071
43,Voorhees,22,16,6,0,60,39,21,0.727,0.527,0.955,5,3.061
44,Toms River South,22,15,5,2,45,14,31,0.727,0.504,1.409,6,3.054
45,Hunterdon Central,21,14,5,2,41,23,18,0.714,0.549,0.857,5,3.05
46,Cherry Hill East,23,16,6,1,47,24,23,0.717,0.518,1.0,6,3.03
47,Glen Rock,20,14,6,0,54,21,33,0.7,0.522,1.65,8,3.029
48,Riverside,18,12,4,2,45,21,24,0.722,0.49,1.333,6,3.016
49,Montclair,20,13,5,2,46,16,30,0.7,0.521,1.5,7,3.011
50,Kearny,22,15,6,1,60,26,34,0.705,0.501,1.545,6,2.987
51,Lyndhurst,21,15,6,0,59,27,32,0.714,0.481,1.524,6,2.986
52,Oakcrest,19,14,3,2,46,15,31,0.789,0.326,1.632,6,2.982
