rank,team,games,wins,losses,ties,goals_for,goals_against,goal_diff,win_pct,opp_win_pct,goal_diff_per_game,max_win_margin,rating
1,St. Joseph (Met.),19,18,1,0,67,13,54,0.947,0.555,2.842,6,3.848
2,Monroe,21,15,5,1,59,19,40,0.738,0.569,1.905,6,3.204
3,Old Bridge,22,14,6,2,48,25,23,0.682,0.541,1.045,4,2.938
4,Wardlaw-Hartridge,16,10,5,1,46,28,18,0.656,0.506,1.125,6,2.833
5,Middlesex,23,14,7,2,54,24,30,0.652,0.496,1.304,7,2.822
6,Dunellen,22,14,7,1,56,33,23,0.659,0.438,1.045,9,2.765
7,North Brunswick,25,15,10,0,39,34,5,0.6,0.602,0.2,5,2.76
8,East Brunswick,21,12,9,0,43,33,10,0.571,0.566,0.476,4,2.623
9,Piscataway,18,11,7,0,29,26,3,0.611,0.472,0.167,3,2.579
10,Piscataway Magnet,19,10,8,1,43,31,12,0.553,0.459,0.632,6,2.432
11,Somerset Tech,21,14,7,0,36,37,-1,0.667,0.257,-0.048,2,2.403
12,Highland Park,19,10,9,0,44,31,13,0.526,0.474,0.684,6,2.377
13,Colonia,22,11,10,1,46,32,14,0.523,0.481,0.636,5,2.365
14,Sayreville,20,9,9,2,34,22,12,0.5,0.512,0.6,7,2.363
15,Metuchen,19,10,8,1,49,34,15,0.553,0.407,0.789,6,2.36
16,Spotswood,19,10,9,0,35,33,2,0.526,0.469,0.105,4,2.327
17,St. Thomas Aquinas,20,9,10,1,32,31,1,0.475,0.47,0.05,6,2.192
18,J.P. Stevens,19,8,8,3,26,33,-7,0.5,0.433,-0.368,3,2.164
19,New Brunswick,17,7,10,0,30,56,-26,0.412,0.605,-1.529,3,2.112
20,Iselin Kennedy,19,8,10,1,56,34,22,0.447,0.415,1.158,6,2.07
21,North Plainfield,18,7,9,2,37,49,-12,0.444,0.468,-0.667,5,2.058
22,South River,20,8,11,1,45,50,-5,0.425,0.471,-0.25,6,2.032
23,South Plainfield,18,7,9,2,23,32,-9,0.444,0.457,-0.5,3,2.029
24,Woodbridge,18,8,10,0,24,27,-3,0.444,0.434,-0.167,4,2.018
25,South Brunswick,20,6,13,1,24,49,-25,0.325,0.636,-1.25,4,1.919
26,South Amboy,14,6,8,0,37,41,-4,0.429,0.359,-0.286,7,1.883
27,Perth Amboy,21,8,12,1,36,52,-16,0.405,0.432,-0.762,4,1.872
28,East Brunswick Magnet,13,5,8,0,34,44,-10,0.385,0.368,-0.769,4,1.715
29,Edison,18,5,12,1,29,49,-20,0.306,0.484,-1.111,2,1.619
30,Carteret,19,4,14,1,38,53,-15,0.237,0.496,-0.789,6,1.483
31,Edison Magnet,13,4,9,0,25,52,-27,0.308,0.328,-2.077,4,1.372
32,Calvary Christian (Old Bridge),18,4,13,1,18,58,-40,0.25,0.399,-2.222,2,1.28
33,Perth Amboy Magnet,16,3,13,0,22,71,-49,0.188,0.413,-3.062,3,1.09
34,Timothy Christian,19,3,16,0,25,85,-60,0.158,0.463,-3.158,2,1.062
35,Woodbridge Magnet,17,1,16,0,16,77,-61,0.059,0.386,-3.588,1,0.622
