rank,player,team,goals,assists,points
1,Enzo Virto,Wardlaw-Hartridge,25,7,57
2,Aiden Yoder,Somerset Tech,22,2,46
3,Emmanuel Kostis,Edison,20,3,43
4,Avyu Arvind,Highland Park,14,10,38
5,Christopher Duran,Monroe,15,7,37
6,Ryan Buitron,Middlesex,13,11,37
7,Joseph Marinello,St. Joseph (Met.),17,2,36
8,Kosiso Okonkwo,Colonia,14,6,34
9,Peter Xarhoulakos,Metuchen,13,8,34
10,Reid Kirin,Metuchen,15,3,33
11,Dominick Vincent,Middlesex,9,15,33
12,Naelson Velasquez,Iselin Kennedy,11,9,31
13,Josh Garcia,Piscataway Magnet,14,2,30
14,Matthew Gamboa,Carteret,13,4,30
15,Ben Lyons,East Brunswick,12,5,29
16,Cristiano Costa,South River,12,4,28
17,Ariet Arzikulov,South River,11,6,28
18,Jossue Carrasco,New Brunswick,12,3,27
19,Marcos Peralta,Perth Amboy,12,3,27
20,Ruben Domingues,South River,10,7,27
21,Nicholas Morella,Old Bridge,10,6,26
22,Alex Lagowski,Spotswood,9,8,26
23,Collin Chessere,Old Bridge,12,1,25
24,Mohanad Ahmed,Highland Park,10,5,25
25,Akai Davis,Monroe,9,7,25
26,Vicents Godinez De Jesus,Piscataway Magnet,9,7,25
27,Daniel Salgado,Dunellen,10,4,24
28,Henrique Santos,Somerset Tech,10,4,24
29,Dominick Duarte,Monroe,9,6,24
30,Luca Malovini,St. Thomas Aquinas,9,6,24
31,Levi O'Connor,Calvary Christian (Old Bridge),10,3,23
32,Vaibhav Sitaramen,Edison Magnet,9,5,23
33,Ilan Mena,St. Joseph (Met.),8,7,23
34,Landin Bua,Spotswood,8,7,23
35,Eugene Zebrowski,Sayreville,10,2,22
36,Chris Licona,North Brunswick,9,4,22
37,Ismael Acosta,Perth Amboy,5,12,22
38,Giovanny Sousa,East Brunswick,10,1,21
39,Richard Selert,East Brunswick Magnet,9,3,21
40,Matteo Paredes,Dunellen,8,5,21
41,Patric Cui,St. Joseph (Met.),7,7,21
42,Sevastian Castillo,Wardlaw-Hartridge,5,11,21
43,David Gamino,Perth Amboy,9,2,20
44,Aaron Blanco,Timothy Christian,8,3,19
45,Barret Little,North Plainfield,8,3,19
46,Bryan Nicolas,Piscataway Magnet,8,3,19
47,Brandon Williams,Middlesex,7,5,19
48,Oliver Ames,Metuchen,6,7,19
49,Edwin Perdomo,North Plainfield,8,2,18
50,Joshua Bonsu,North Brunswick,7,4,18
51,Dante Aschettino,Monroe,6,6,18
52,Emmanuel Akobokoba,St. Thomas Aquinas,7,3,17
53,Anthony Carrera Vides,Piscataway,6,5,17
54,Peter Kassouf,North Brunswick,6,5,17
55,Zachary Smith,St. Joseph (Met.),6,5,17
56,Justin Lustgarten,Wardlaw-Hartridge,5,7,17
57,Lucas Catalunia,Iselin Kennedy,8,0,16
58,Jonathan Quiquintuna,North Plainfield,7,2,16
59,Christian Wozny,Sayreville,6,4,16
60,Kevin Brito,Piscataway,6,4,16
61,Pablo Paredes,Dunellen,6,4,16
62,Diego Nunez,North Plainfield,4,8,16
63,Samartha Nandy,Woodbridge Magnet,7,1,15
64,Marmik Luhar,Iselin Kennedy,6,3,15
65,Nathan Sekar,J.P. Stevens,6,3,15
66,Nicolas Moran,South Plainfield,6,3,15
67,Carter Stetz,St. Joseph (Met.),5,5,15
68,Justin Cardenas Suarez,Dunellen,5,5,15
69,Dilin Crespo,South Amboy,7,0,14
70,Michael Deak,Old Bridge,7,0,14
71,Aidan Fung,South Brunswick,6,2,14
72,Noah Matos,Iselin Kennedy,6,2,14
73,Carlos Venegas,St. Joseph (Met.),5,4,14
74,Christopher Amabile,Colonia,5,4,14
75,Nate Thomas,Piscataway,5,4,14
76,Ryan Miller,Colonia,5,4,14
77,Noah Charnecky,St. Joseph (Met.),2,10,14
78,Diego Salgado,Dunellen,6,1,13
79,Lukas Kozak,East Brunswick Magnet,6,1,13
80,Elias Araujo,St. Thomas Aquinas,5,3,13
81,Joseph David Renteria,Dunellen,5,3,13
82,Lemar Baidariwal,Iselin Kennedy,5,3,13
83,Nishanth Tamma,Monroe,5,3,13
84,Lucas Dwornikowski,Old Bridge,4,5,13
85,Aarav Singh,Metuchen,2,9,13
86,Lenny Garcia,Monroe,2,9,13
87,Matheus Silva,South River,2,9,13
88,Daniel Santos,Colonia,5,2,12
89,Nicholas Creighton,Spotswood,5,2,12
90,Andy Zapata,South Plainfield,5,1,11
91,Manraj Panag,Woodbridge,5,1,11
92,Matthew Donoso,Timothy Christian,5,1,11
93,Timur Lubka,Sayreville,5,1,11
94,Jacob Palmer,Highland Park,4,3,11
